                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.4986,                 1.7849,                 1.5068,                0.74928,                0.52611,                 0.6505,                0.41582,                 1.4502,                  1.679,                 1.5082,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.4708,                 1.7703,                 1.4901,                0.76811,                0.58213,                0.67531,                 0.4345,                  1.385,                 1.5346,                 1.4615,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.4527,                 1.7213,                   1.48,                0.66015,                0.61837,                0.64021,                0.42234,                 1.3673,                 1.5485,                 1.4787,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.4807,                 1.7251,                 1.4698,                 0.7409,                0.57451,                0.65765,                0.44164,                 1.3978,                 1.5048,                 1.5028,               0.009109,               0.009109,               0.009109
                     92,                 1.4694,                 1.6943,                 1.4803,                0.67359,                0.55074,                0.59761,                0.39004,                 1.4625,                 1.6203,                 1.5235,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.4539,                 1.6298,                 1.4557,                0.70737,                 0.6192,                0.67106,                0.44861,                 1.3323,                 1.5474,                 1.4606,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.4457,                 1.6611,                 1.4471,                0.61739,                0.43606,                0.49857,                0.29517,                 1.6735,                 2.0957,                 1.7173,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.4776,                 1.6607,                 1.4652,                0.63113,                0.53729,                0.57255,                0.36796,                 1.5079,                 1.9559,                 1.5733,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.4534,                 1.7446,                  1.477,                0.72909,                0.62813,                  0.665,                0.44473,                 1.3031,                 1.4566,                 1.4302,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.4445,                 1.6982,                   1.47,                 0.7332,                0.63236,                0.71044,                0.47151,                 1.3098,                 1.4142,                 1.4337,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.4127,                 1.6578,                  1.445,                0.79391,                0.59237,                0.69668,                0.47731,                  1.261,                 1.3371,                  1.418,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.4591,                 1.6643,                 1.4552,                0.75957,                0.62603,                 0.7048,                0.48182,                 1.2873,                 1.3489,                 1.4159,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.4381,                 1.6319,                 1.4451,                0.73351,                0.66831,                0.71178,                0.49044,                 1.2566,                 1.3418,                 1.4083,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.4184,                 1.5902,                 1.4386,                0.75421,                0.65119,                0.71692,                  0.482,                 1.2877,                 1.3879,                 1.4284,                0.00901,                0.00901,                0.00901
                    102,                 1.4455,                 1.6652,                 1.4554,                 0.7716,                0.59271,                0.70792,                0.46562,                  1.284,                  1.368,                 1.3918,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.4052,                 1.6477,                 1.4201,                 0.7888,                0.63733,                0.72551,                0.50312,                 1.2801,                 1.2934,                  1.392,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.3891,                 1.5792,                 1.4025,                0.72603,                0.64323,                 0.7171,                0.48976,                 1.3293,                 1.3557,                 1.4412,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.4017,                 1.5971,                  1.423,                0.77103,                0.61038,                0.69235,                 0.4799,                   1.25,                 1.3515,                 1.3892,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.3856,                 1.5636,                 1.4185,                0.74544,                0.61183,                0.69909,                0.47943,                 1.3289,                 1.3524,                 1.3976,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.3925,                 1.5767,                 1.4184,                0.77861,                0.65457,                0.73825,                0.51039,                 1.2787,                 1.2818,                 1.3624,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.3956,                 1.5343,                 1.4062,                0.79147,                0.70775,                0.77072,                0.54464,                 1.2545,                 1.2534,                 1.3561,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.3794,                  1.588,                 1.4123,                0.79024,                  0.667,                0.74991,                0.52633,                 1.2411,                 1.4126,                  1.371,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.4085,                 1.5829,                 1.4259,                0.81981,                0.57124,                 0.7392,                0.53274,                 1.2643,                  1.337,                 1.3698,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.3743,                 1.5676,                 1.4013,                0.72892,                0.68186,                0.75173,                0.51095,                 1.2673,                 1.2181,                 1.3776,               0.008911,               0.008911,               0.008911
                    112,                 1.3737,                 1.5474,                 1.4198,                0.74657,                0.65805,                 0.7349,                0.50545,                 1.3234,                 1.3084,                  1.403,              0.0089011,              0.0089011,              0.0089011
